89.0,246.0
96.0,247.0
96.0,248.0
96.0,248.0
76.0,248.0
67.0,249.0
67.0,249.0
70.0,254.0
70.0,254.0
70.0,255.0
70.0,254.0
70.0,254.0
70.0,254.0
71.0,254.0
71.0,253.0
72.0,252.0
72.0,252.0
72.0,252.0
73.0,252.0
73.0,252.0
73.0,253.0
74.0,254.0
74.0,254.0
71.0,254.0
67.0,254.0
64.0,254.0
63.0,255.0
61.0,254.0
62.0,254.0
61.0,255.0
64.0,255.0
70.0,256.0
72.0,255.0
73.0,256.0
72.0,256.0
72.0,256.0
71.0,257.0
72.0,257.0
72.0,257.0
72.0,259.0
74.0,260.0
75.0,260.0
76.0,261.0
75.0,262.0
73.0,262.0
72.0,263.0
71.0,264.0
70.0,264.0
71.0,265.0
71.0,266.0
73.0,265.0
74.0,265.0
74.0,265.0
74.0,265.0
74.0,264.0
74.0,263.0
72.0,264.0
72.0,263.0
71.0,263.0
71.0,262.0
71.0,262.0
72.0,260.0
72.0,260.0
72.0,260.0
72.0,260.0
73.0,260.0
73.0,260.0
74.0,260.0
75.0,261.0
