80.0,272.0
78.0,271.0
78.0,272.0
78.0,272.0
78.0,271.0
78.0,271.0
78.0,271.0
78.0,272.0
78.0,273.0
78.0,273.0
79.0,273.0
80.0,270.0
82.0,267.0
83.0,267.0
84.0,268.0
85.0,269.0
86.0,268.0
86.0,268.0
86.0,268.0
85.0,268.0
85.0,269.0
86.0,269.0
86.0,269.0
86.0,270.0
86.0,270.0
86.0,272.0
86.0,272.0
87.0,272.0
86.0,272.0
87.0,273.0
86.0,273.0
84.0,274.0
84.0,274.0
84.0,272.0
85.0,267.0
87.0,264.0
90.0,260.0
91.0,259.0
91.0,259.0
89.0,253.0
89.0,247.0
88.0,244.0
83.0,246.0
81.0,248.0
80.0,250.0
80.0,250.0
82.0,250.0
83.0,249.0
83.0,249.0
83.0,248.0
84.0,249.0
83.0,250.0
83.0,250.0
82.0,251.0
81.0,251.0
80.0,252.0
80.0,253.0
79.0,253.0
79.0,253.0
81.0,250.0
81.0,248.0
80.0,247.0
80.0,248.0
79.0,250.0
78.0,251.0
78.0,248.0
79.0,239.0
80.0,234.0
81.0,227.0
84.0,223.0
86.0,221.0
89.0,220.0
90.0,223.0
89.0,226.0
98.0,224.0
96.0,213.0
94.0,214.0
94.0,208.0
94.0,208.0
92.0,213.0
91.0,217.0
86.0,219.0
79.0,222.0
80.0,222.0
81.0,222.0
82.0,219.0
82.0,219.0
82.0,220.0
83.0,221.0
82.0,215.0
81.0,214.0
